Sexo;Provincia;Municipio;Periodo;Total
Total;28 Madrid;Villa del Prado;1 de enero de 2022;7092
Total;28 Madrid;Villaconejos;1 de enero de 2022;3456
Total;28 Madrid;Villalbilla;1 de enero de 2022;15866
Total;28 Madrid;Villamanrique de Tajo;1 de enero de 2022;757
Total;28 Madrid;Villamanta;1 de enero de 2022;2714
Total;28 Madrid;Villamantilla;1 de enero de 2022;1567
Total;28 Madrid;Villanueva de la Cañada;1 de enero de 2022;22845
Total;28 Madrid;Villanueva de Perales;1 de enero de 2022;1623
Total;28 Madrid;Villanueva del Pardillo;1 de enero de 2022;17382
Total;28 Madrid;Villar del Olmo;1 de enero de 2022;2219
Total;28 Madrid;Villarejo de Salvanés;1 de enero de 2022;7629
Total;28 Madrid;Villaviciosa de Odón;1 de enero de 2022;28152
Total;28 Madrid;Villavieja del Lozoya;1 de enero de 2022;284
Total;28 Madrid;Zarzalejo;1 de enero de 2022;1773
